"","cname","bti_ci","bti_cr","cpds_vt","ti_cpi","ccp_democ","br_dem","bti_ffe","bti_gp","bti_ij","bti_mes","bti_pdi","bti_sdi","ti_cpi_max","al_ethnic2000","al_religion2000"
"1","Afghanistan","High",2,NA,16,1,0,4,4.466666698,3,3.142857075,3,3,20.18943977,0.769344568,0.271683902
"2","Albania","Low",8,NA,35,1,1,7,6.783333302,5,6.535714149,6,7,39.11257935,0.220425993,0.471851587
"3","Algeria","Medium",5,NA,35,1,0,5,4.933333397,4,5.357142925,3,2.5,39.24803162,0.339399993,0.0091285
"4","Andorra",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0.713945985,0.232568502
"5","Angola","Medium",4,NA,26,1,0,4,4.650000095,4,3.678571463,3,3,28.98747063,0.786719978,0.627643526
"6","Antigua and Barbuda",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0.164256006,0.683991313
"7","Azerbaijan","Medium",3,NA,30,1,0,2,4.483333111,3,5.25,2,2,41.74531937,0.204671994,0.489894688
"8","Argentina","Medium",7,NA,45,1,1,9,7.266666889,7,6.428571224,8,8,50.39339828,0.254999995,0.223620698
"9","Australia","None",NA,91.80000305,77,2,1,NA,NA,NA,NA,NA,NA,79.16139984,0.092901997,0.821085513
"10","Austria","None",NA,75.59999847,77,1,1,NA,NA,NA,NA,NA,NA,79.57285309,0.106776185,0.414621711
"11","The Bahamas ",NA,NA,NA,64,1,1,NA,NA,NA,NA,NA,NA,73.55400848,0.422845155,0.681459427
"12","Bahrain","Medium",3,NA,42,1,0,2,3.733333349,2,6.25,2,1.5,54.53910065,0.502129972,0.552825093
"13","Bangladesh","Medium",4,NA,26,1,0,4,4.866666794,4,5.678571224,3,3,30.29233932,0.045434002,0.209049806
"14","Armenia","Low",7,NA,42,1,1,9,6.116666794,5,6.285714149,6,6.5,49.06938171,0.127153993,0.457560897
"15","Barbados",NA,NA,NA,62,1,1,NA,NA,NA,NA,NA,NA,71.9377594,0.142342001,0.693402886
"16","Belgium","None",NA,88.40000153,75,2,1,NA,NA,NA,NA,NA,NA,76.79550171,0.555400014,0.2126811
"17","Bhutan","Low",7,NA,68,1,1,8,7.333333492,7,5.714285851,8,8,72.52089691,0.605000019,0.378703505
"18","Bolivia ","Medium",6,NA,31,1,1,9,6.099999905,5,5.642857075,6,6,35.91436005,0.739625037,0.208468601
