cname,bti_ci,bti_cr,cpds_vt,ti_cpi,ccp_democ,br_dem,bti_ffe,bti_gp,bti_ij,bti_mes,bti_pdi,bti_sdi,ti_cpi_max,al_ethnic2000,al_religion2000
Afghanistan,9,2,NA,16,1,0,4,4.466666698,3,3.142857075,3,3,20.18943977,0.769344568,0.271683902
Albania,3,8,NA,35,1,1,7,6.783333302,5,6.535714149,6,7,39.11257935,0.220425993,0.471851587
Algeria,6,5,NA,35,1,0,5,4.933333397,4,5.357142925,3,2.5,39.24803162,0.339399993,0.0091285
Andorra,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0.713945985,0.232568502
Angola,4,4,NA,26,1,0,4,4.650000095,4,3.678571463,3,3,28.98747063,0.786719978,0.627643526
Antigua and Barbuda,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0.164256006,0.683991313
Azerbaijan,4,3,NA,30,1,0,2,4.483333111,3,5.25,2,2,41.74531937,0.204671994,0.489894688
Argentina,4,7,NA,45,1,1,9,7.266666889,7,6.428571224,8,8,50.39339828,0.254999995,0.223620698
Australia,1,NA,91.80000305,77,2,1,NA,NA,NA,NA,NA,NA,79.16139984,0.092901997,0.821085513
Austria,1,NA,75.59999847,77,1,1,NA,NA,NA,NA,NA,NA,79.57285309,0.106776185,0.414621711
The Bahamas ,NA,NA,NA,64,1,1,NA,NA,NA,NA,NA,NA,73.55400848,0.422845155,0.681459427
Bahrain,7,3,NA,42,1,0,2,3.733333349,2,6.25,2,1.5,54.53910065,0.502129972,0.552825093
Bangladesh,7,4,NA,26,1,0,4,4.866666794,4,5.678571224,3,3,30.29233932,0.045434002,0.209049806
Armenia,3,7,NA,42,1,1,9,6.116666794,5,6.285714149,6,6.5,49.06938171,0.127153993,0.457560897
Barbados,NA,NA,NA,62,1,1,NA,NA,NA,NA,NA,NA,71.9377594,0.142342001,0.693402886
Belgium,1,NA,88.40000153,75,2,1,NA,NA,NA,NA,NA,NA,76.79550171,0.555400014,0.2126811
Bhutan,2,7,NA,68,1,1,8,7.333333492,7,5.714285851,8,8,72.52089691,0.605000019,0.378703505
Bolivia ,5,6,NA,31,1,1,9,6.099999905,5,5.642857075,6,6,35.91436005,0.739625037,0.208468601
Bosnia and Herz.,5,7,NA,36,1,0,6,4.333333492,5,6.464285851,4,4,39.20241928,0.630038023,0.685085714
Botswana,1,8,NA,61,1,1,8,8.458333015,9,7.642857075,9,9,67.12036133,0.410248011,0.598619282
Brazil,5,6,NA,35,1,1,9,6.483333111,7,6.892857075,7,7.5,41.6588707,0.540835977,0.605430186
Belize,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0.701539993,0.581293225
Solomon Islands,NA,NA,NA,42,1,1,NA,NA,NA,NA,NA,NA,56.25102997,0.111022003,0.670808077
Brunei Darussalam,NA,NA,NA,60,2,0,NA,NA,NA,NA,NA,NA,70.0337677,0.541599989,0.440405309
Bulgaria,4,7,54.09999847,43,1,1,8,7.266666889,8,7.571428776,7,8,47.53953934,0.402114123,0.596501172
Myanmar,9,2,NA,29,1,0,7,3.733333349,3,3.25,2,2.5,35.90898132,0.506186008,0.197385505
Burundi,7,2,NA,19,1,0,3,3.366666555,3,3.285714388,2,2,27.02617073,0.295143992,0.515826285
Belarus,3,4,NA,45,1,0,3,4.233333111,4,5.392857075,3,2.5,51.88875961,0.322183996,0.611620724
Cambodia,5,2,NA,20,1,0,2,3.349999905,2,4.714285851,2,2,25.59160042,0.210464001,0.096453398
Cameroon,8,3,NA,25,1,0,3,3.900000095,3,4.607142925,2,2,28.97616005,0.863489985,0.733753383
Canada,1,NA,67,77,1,1,NA,NA,NA,NA,NA,NA,81.58673859,0.712419987,0.69576782
Cabo Verde,NA,NA,NA,58,1,1,NA,NA,NA,NA,NA,NA,65.04934692,0.417400002,0.076616399
Central African Rep.,9,3,NA,25,1,0,6,4.166666508,3,3,2,2.5,27.34192085,0.829509974,0.791633189
Sri Lanka,5,6,NA,38,1,1,8,6.183333397,8,6.5,6,6,41.46537018,0.414999992,0.48529619
Chad,6,2,NA,20,1,0,3,2.650000095,1,3.357142925,2,1.5,24.02018929,0.862016022,0.64107883
